vehicle_id,make,model,year,vehicle_type,capacity_kg,purchase_date,current_mileage_km,fuel_efficiency_km_l,annual_maintenance_cost,driver_performance_score
VEH1000,Isuzu,ModelA,2010,Trailer,13234,2022-06-17,824724,4.4,3154.69,64
VEH1001,Volvo,ModelE,2017,Van,19290,2018-05-14,312114,8.4,1671.87,77
VEH1002,MAN,ModelD,2023,Van,7254,2023-08-03,69279,8.8,962.02,87
VEH1003,Isuzu,ModelD,2023,Van,18144,2023-12-11,63946,12.5,1085.36,81
VEH1004,Toyota,ModelD,2021,Van,8350,2021-04-27,92481,11.0,1039.38,80
VEH1005,MAN,ModelD,2012,Car,16183,2018-06-10,160418,12.1,1331.94,65
VEH1006,MAN,ModelD,2016,Truck,7238,2023-04-18,380910,2.8,2723.69,60
VEH1007,Isuzu,ModelC,2024,Truck,7090,2024-04-07,74647,4.5,1327.15,64
VEH1008,Mercedes,ModelB,2021,Van,12637,2021-08-23,128089,8.0,1301.61,71
VEH1009,Toyota,ModelD,2011,Car,13647,2017-02-27,288695,13.0,1003.82,85
VEH1010,Isuzu,ModelA,2011,Van,10911,2020-07-17,285763,10.7,1781.23,93
VEH1011,Toyota,ModelA,2016,Truck,9472,2016-09-17,709167,4.6,3363.07,73
VEH1012,Toyota,ModelA,2024,Van,19271,2024-10-22,36648,11.3,1038.61,85
VEH1013,MAN,ModelA,2015,Car,4266,2015-01-21,131850,13.3,1029.38,86
VEH1014,Volvo,ModelC,2012,Truck,1666,2015-05-21,614548,4.6,3631.94,68
VEH1015,Toyota,ModelA,2018,Truck,5188,2019-04-30,331353,3.2,2497.41,85
VEH1016,Scania,ModelD,2019,Van,18055,2019-03-15,156509,9.6,1174.12,81
VEH1017,MAN,ModelE,2024,Van,11161,2024-03-29,30495,11.7,819.69,89
VEH1018,Mercedes,ModelA,2023,Truck,12314,2023-04-06,114555,4.4,1924.21,76
VEH1019,Volvo,ModelC,2022,Truck,13891,2022-07-12,154947,5.0,2146.85,85
VEH1020,Scania,ModelC,2015,Truck,5777,2020-05-26,644741,4.5,3349.89,95
VEH1021,Scania,ModelA,2019,Truck,4900,2021-04-23,273478,4.2,2678.03,60
VEH1022,Mercedes,ModelE,2019,Trailer,14716,2022-09-08,310114,2.8,2007.56,67
VEH1023,Volvo,ModelA,2015,Car,7981,2017-10-19,154954,14.2,997.77,94
VEH1024,MAN,ModelC,2010,Truck,7376,2016-09-21,873641,3.3,3086.34,74
VEH1025,Ford,ModelB,2013,Trailer,17907,2014-03-21,856884,3.2,3365.38,81
VEH1026,Volvo,ModelD,2019,Van,19777,2020-10-07,143960,12.9,1250.06,73
VEH1027,Mercedes,ModelC,2015,Van,19977,2015-06-08,302846,10.0,1848.13,85
VEH1028,Scania,ModelA,2024,Van,11160,2024-07-02,31848,12.5,827.52,87
VEH1029,MAN,ModelD,2015,Truck,15124,2015-04-20,418580,4.4,2540.48,82
VEH1030,Volvo,ModelA,2020,Truck,17282,2021-03-26,321508,4.9,1928.69,73
VEH1031,Ford,ModelA,2021,Van,11488,2021-06-09,93641,10.5,1237.16,83
VEH1032,Ford,ModelB,2014,Van,6240,2020-05-03,234311,10.9,1759.44,61
VEH1033,Toyota,ModelD,2010,Truck,11453,2017-09-10,1169331,4.0,3151.68,85
VEH1034,Toyota,ModelD,2017,Car,11478,2017-08-04,195875,13.2,750.28,73
VEH1035,Isuzu,ModelB,2014,Car,13394,2018-10-01,243385,16.3,1134.41,66
VEH1036,Mercedes,ModelC,2021,Truck,5432,2021-12-30,208738,3.3,1741.12,62
VEH1037,Volvo,ModelA,2021,Car,14568,2022-06-03,45860,12.1,790.12,82
VEH1038,Volvo,ModelE,2021,Trailer,15178,2021-04-18,269477,4.4,2273.24,77
VEH1039,Isuzu,ModelA,2014,Trailer,18660,2018-09-23,633667,3.0,2622.5,97
VEH1040,Scania,ModelA,2016,Truck,1302,2016-11-11,403933,5.3,2376.71,94
VEH1041,Scania,ModelC,2013,Car,18022,2020-09-16,209131,17.7,1314.12,74
VEH1042,Isuzu,ModelA,2015,Van,1055,2016-01-09,206877,12.6,1519.53,84
VEH1043,Scania,ModelB,2022,Car,14013,2022-07-18,70919,14.2,616.37,96
VEH1044,Toyota,ModelB,2013,Trailer,9717,2014-12-28,604214,2.5,3712.9,87
VEH1045,Volvo,ModelD,2023,Van,9150,2023-08-09,66500,12.6,1131.74,69
VEH1046,Isuzu,ModelE,2024,Car,3125,2024-08-09,14675,14.6,656.92,98
VEH1047,Volvo,ModelA,2012,Car,12479,2018-08-19,231413,17.8,1266.55,76
VEH1048,Ford,ModelA,2016,Car,16745,2017-08-21,163805,17.8,902.98,98
VEH1049,Toyota,ModelC,2017,Van,17748,2017-08-20,189576,12.3,1200.1,81
VEH1050,MAN,ModelB,2013,Truck,7809,2018-03-10,945400,3.4,3665.83,85
VEH1051,Toyota,ModelE,2022,Truck,5621,2022-12-30,213015,3.7,1995.56,84
VEH1052,Isuzu,ModelD,2011,Car,16034,2014-09-17,337294,17.1,1163.63,76
VEH1053,MAN,ModelB,2021,Truck,14623,2021-12-30,303172,3.5,2441.34,72
VEH1054,Ford,ModelD,2019,Van,6126,2019-02-06,191747,8.8,1080.93,79
VEH1055,Isuzu,ModelC,2023,Truck,6122,2023-05-05,153749,4.2,1794.69,84
VEH1056,Mercedes,ModelC,2012,Van,19030,2015-12-02,283008,12.7,1480.36,63
VEH1057,Volvo,ModelA,2010,Car,18302,2023-06-25,194096,16.2,1234.33,69
VEH1058,Ford,ModelE,2017,Car,6870,2017-04-20,85427,15.4,740.27,62
VEH1059,Volvo,ModelD,2024,Truck,2531,2024-07-30,53013,2.8,1398.42,77
VEH1060,Scania,ModelB,2012,Car,9172,2016-07-06,205792,15.7,974.06,95
VEH1061,Mercedes,ModelC,2021,Van,8673,2021-02-28,101707,13.0,1186.85,81
VEH1062,Mercedes,ModelA,2019,Truck,7882,2019-06-25,438897,2.9,2636.2,93
VEH1063,Ford,ModelA,2016,Car,2906,2016-08-17,138161,15.1,981.68,67
VEH1064,Mercedes,ModelD,2019,Van,4086,2021-08-30,153712,12.4,1516.63,99
VEH1065,MAN,ModelC,2014,Truck,14503,2018-10-24,678786,4.7,2992.34,78
VEH1066,Mercedes,ModelE,2019,Car,9152,2019-08-26,72683,16.2,731.43,96
VEH1067,Volvo,ModelC,2014,Truck,6750,2018-01-15,792966,4.6,3614.43,65
VEH1068,Volvo,ModelD,2023,Truck,13772,2023-03-24,85964,3.6,1600.99,85
VEH1069,Isuzu,ModelD,2016,Van,11267,2023-10-22,357639,9.5,1801.64,93
VEH1070,Volvo,ModelC,2024,Truck,2062,2024-09-24,70889,4.9,1328.02,65
VEH1071,Isuzu,ModelD,2018,Van,19360,2018-09-23,167820,12.1,1615.61,96
VEH1072,Volvo,ModelC,2021,Van,18680,2021-11-04,80441,12.3,915.34,92
VEH1073,MAN,ModelB,2014,Car,7229,2016-09-21,244551,17.5,1214.28,81
VEH1074,Isuzu,ModelC,2010,Car,17509,2015-01-22,309042,15.1,1263.85,80
VEH1075,Toyota,ModelC,2019,Car,16147,2021-11-20,125610,15.0,957.75,65
VEH1076,Scania,ModelD,2019,Car,5632,2019-03-02,129414,16.8,663.61,65
VEH1077,Ford,ModelD,2010,Van,7288,2021-08-09,322213,11.2,2043.08,63
VEH1078,Volvo,ModelA,2024,Truck,4596,2024-11-21,54338,4.6,1959.74,89
VEH1079,Mercedes,ModelA,2011,Van,12475,2017-05-27,312443,12.0,1937.74,70
VEH1080,Volvo,ModelB,2023,Van,7168,2023-11-04,74524,12.5,1009.69,89
VEH1081,Mercedes,ModelA,2015,Truck,10795,2017-02-22,649319,3.5,3234.9,90
VEH1082,Scania,ModelC,2018,Van,8561,2018-08-19,186325,9.9,1335.27,83
VEH1083,Scania,ModelD,2017,Van,9258,2017-11-04,170169,8.5,1513.47,68
VEH1084,Scania,ModelA,2022,Car,17616,2022-08-10,43994,15.5,671.92,62
VEH1085,Mercedes,ModelA,2014,Trailer,7371,2014-11-07,583080,2.6,3655.46,90
VEH1086,Volvo,ModelB,2010,Van,15369,2021-02-20,518881,10.3,1636.36,99
VEH1087,Scania,ModelB,2022,Truck,13910,2022-07-06,196506,4.1,1779.15,96
VEH1088,MAN,ModelC,2016,Truck,8943,2019-05-07,679396,3.4,3363.47,95
VEH1089,Isuzu,ModelD,2024,Car,13199,2024-07-27,17083,15.5,635.86,83
VEH1090,Mercedes,ModelB,2014,Car,16728,2016-05-11,129733,12.2,1031.38,90
VEH1091,Mercedes,ModelA,2015,Truck,7738,2015-03-02,685297,2.6,3144.16,65
VEH1092,Volvo,ModelD,2022,Van,16913,2022-06-25,105647,12.1,947.39,61
VEH1093,Mercedes,ModelD,2016,Truck,3472,2022-11-11,562059,3.6,2494.46,79
VEH1094,Mercedes,ModelA,2012,Truck,16679,2015-06-21,920902,2.9,3399.9,87
VEH1095,Scania,ModelB,2021,Truck,2761,2021-02-23,239007,4.1,1976.82,70
VEH1096,Volvo,ModelA,2019,Truck,11167,2019-01-23,365455,4.8,2480.31,63
VEH1097,Scania,ModelD,2012,Trailer,11554,2015-10-19,742321,3.1,2867.27,74
VEH1098,Isuzu,ModelE,2014,Van,18260,2018-09-25,225592,11.1,1998.79,65
VEH1099,Isuzu,ModelE,2015,Truck,15277,2023-06-28,443156,2.8,3583.45,89
VEH1100,Scania,ModelC,2018,Car,4812,2018-02-19,73300,12.3,917.37,97
VEH1101,Isuzu,ModelA,2022,Car,18844,2022-06-20,58638,15.2,659.39,61
VEH1102,Volvo,ModelA,2023,Trailer,19117,2023-03-08,105148,4.1,1662.86,74
VEH1103,Ford,ModelC,2021,Truck,2605,2021-05-23,241371,4.4,2363.59,70
VEH1104,Scania,ModelC,2014,Truck,6622,2018-07-22,839329,4.7,3382.76,67
VEH1105,MAN,ModelC,2024,Truck,7767,2024-01-22,49971,5.4,1427.33,85
VEH1106,MAN,ModelD,2010,Truck,12613,2023-09-12,846229,4.0,4366.39,64
VEH1107,Mercedes,ModelA,2023,Truck,11589,2023-05-07,140444,3.5,2032.23,65
VEH1108,Isuzu,ModelD,2023,Van,14918,2023-02-28,49151,12.0,1132.72,85
VEH1109,MAN,ModelC,2023,Truck,14046,2023-08-13,86158,3.3,1962.52,63
VEH1110,Mercedes,ModelA,2013,Truck,3590,2014-08-12,619080,3.8,3449.71,78
VEH1111,Ford,ModelD,2014,Truck,18447,2016-02-05,510937,2.7,3046.99,79
VEH1112,Volvo,ModelD,2021,Truck,5324,2021-12-02,308751,2.6,2463.49,92
VEH1113,Volvo,ModelC,2019,Truck,11787,2019-12-05,433948,5.4,2751.42,79
VEH1114,Volvo,ModelA,2019,Van,10111,2019-01-01,196008,12.2,1047.15,71
VEH1115,MAN,ModelC,2014,Truck,6342,2019-05-10,823442,4.6,2553.22,60
VEH1116,Ford,ModelA,2016,Truck,17389,2016-04-26,649321,3.7,2709.17,85
VEH1117,MAN,ModelE,2013,Van,9659,2014-06-24,284776,8.9,1978.63,73
VEH1118,Isuzu,ModelB,2010,Van,15043,2019-05-01,567767,8.8,2389.82,97
VEH1119,MAN,ModelB,2023,Truck,9837,2023-01-29,123147,3.3,1548.3,96
VEH1120,Ford,ModelB,2023,Truck,1117,2023-07-14,144595,4.1,1867.77,70
VEH1121,Ford,ModelC,2014,Truck,14917,2015-07-16,834280,4.6,2999.92,95
VEH1122,Isuzu,ModelE,2016,Car,19935,2016-12-21,132930,16.0,1128.57,72
VEH1123,Ford,ModelA,2019,Van,15309,2019-06-04,133206,9.4,1455.16,62
VEH1124,Ford,ModelD,2019,Van,14234,2019-10-04,147352,12.8,1453.22,92
VEH1125,Volvo,ModelA,2015,Car,6560,2022-04-14,164066,16.4,987.48,65
VEH1126,Isuzu,ModelD,2014,Truck,1846,2017-03-19,799926,4.2,3042.67,69
VEH1127,Toyota,ModelA,2013,Car,11954,2021-04-10,274931,15.7,1000.3,64
VEH1128,Toyota,ModelE,2011,Van,14703,2018-07-16,281946,10.1,1579.3,82
VEH1129,Ford,ModelD,2013,Truck,16385,2016-06-02,725158,3.2,3781.43,69
VEH1130,Toyota,ModelC,2024,Van,14746,2024-03-31,28348,9.8,990.14,61
VEH1131,Toyota,ModelA,2019,Car,7469,2019-07-30,79989,16.5,959.91,72
VEH1132,Ford,ModelA,2019,Van,10333,2020-03-09,134383,8.1,1534.28,99
VEH1133,Toyota,ModelD,2012,Trailer,17608,2015-01-19,695559,2.8,3526.5,61
VEH1134,MAN,ModelC,2019,Truck,13819,2023-04-14,466298,2.6,2658.23,79
VEH1135,Mercedes,ModelC,2010,Car,5208,2014-03-26,222720,12.2,1472.38,60
VEH1136,Isuzu,ModelE,2017,Truck,7283,2017-05-16,486012,5.1,3077.62,96
VEH1137,Mercedes,ModelC,2014,Car,3048,2023-07-08,225998,16.2,943.89,68
VEH1138,Ford,ModelC,2022,Van,7233,2022-04-09,81817,10.4,1019.43,76
VEH1139,Volvo,ModelC,2013,Truck,13941,2022-04-06,946455,2.8,2810.49,68
VEH1140,Isuzu,ModelB,2017,Truck,13607,2017-07-24,627983,4.0,3190.38,70
VEH1141,Ford,ModelE,2016,Truck,10765,2022-05-14,450641,3.9,2971.04,74
VEH1142,Volvo,ModelA,2011,Truck,2828,2019-05-21,838459,3.0,3209.25,83
VEH1143,Mercedes,ModelD,2010,Truck,2917,2018-01-09,780526,3.8,4007.55,97
VEH1144,Ford,ModelA,2021,Van,7988,2022-10-12,102787,10.0,1172.92,94
VEH1145,Isuzu,ModelE,2020,Van,19410,2020-11-07,103688,11.1,1131.92,89
VEH1146,Isuzu,ModelD,2013,Car,15594,2022-07-15,229721,15.8,929.97,90
VEH1147,Scania,ModelE,2017,Car,13977,2022-09-10,140321,12.3,961.77,64
VEH1148,MAN,ModelC,2021,Van,1009,2021-04-12,84118,9.9,1129.1,73
VEH1149,Toyota,ModelD,2011,Car,17644,2013-12-23,198515,15.8,1330.71,70
VEH1150,Volvo,ModelC,2012,Car,10865,2016-06-23,307111,15.0,1159.28,68
VEH1151,Scania,ModelA,2021,Truck,3219,2021-04-07,198329,5.1,2395.83,93
VEH1152,Toyota,ModelA,2010,Truck,8041,2021-03-22,686936,4.5,3827.86,71
VEH1153,Toyota,ModelD,2010,Truck,19444,2021-06-09,893671,3.0,3841.41,94
VEH1154,Ford,ModelD,2022,Truck,6287,2022-09-30,238278,2.7,2243.79,94
VEH1155,Toyota,ModelE,2012,Truck,2619,2020-07-17,645868,4.4,3316.81,60
VEH1156,MAN,ModelE,2020,Truck,9512,2020-07-14,334427,2.6,1920.61,99
VEH1157,Isuzu,ModelC,2014,Car,2342,2022-01-07,235667,15.5,852.09,81
VEH1158,Scania,ModelD,2021,Car,11568,2023-10-08,54258,17.6,771.44,88
VEH1159,Toyota,ModelA,2012,Truck,19378,2018-05-21,898672,4.2,3616.03,67
VEH1160,Ford,ModelE,2010,Truck,15231,2020-07-16,820669,3.7,4056.12,70
VEH1161,MAN,ModelE,2010,Truck,4490,2021-11-22,979383,4.4,3319.45,96
VEH1162,Mercedes,ModelA,2017,Van,10310,2017-01-20,261364,10.3,1230.55,73
VEH1163,Isuzu,ModelE,2019,Van,8984,2019-09-09,184292,10.7,1031.45,89
VEH1164,Isuzu,ModelC,2020,Car,18988,2020-08-04,56771,17.6,705.18,94
VEH1165,Scania,ModelD,2021,Truck,13219,2021-09-29,293648,3.7,2175.53,80
VEH1166,Isuzu,ModelA,2022,Car,1235,2023-01-21,44435,17.8,621.98,96
VEH1167,Toyota,ModelD,2022,Trailer,11161,2023-08-31,142382,5.2,1901.23,64
VEH1168,Ford,ModelE,2021,Truck,2908,2021-02-02,166524,3.1,2439.49,78
VEH1169,Isuzu,ModelE,2024,Car,9567,2024-01-09,18863,12.4,516.62,73
VEH1170,Isuzu,ModelA,2023,Van,4530,2023-05-28,67102,8.5,965.37,85
VEH1171,Mercedes,ModelC,2011,Van,6256,2017-10-20,284644,8.1,2137.85,63
VEH1172,Mercedes,ModelB,2022,Van,9162,2022-10-01,90725,8.5,996.96,84
VEH1173,Volvo,ModelA,2012,Car,19944,2015-04-17,174166,16.1,1206.16,84
VEH1174,MAN,ModelB,2011,Van,6415,2021-03-10,460648,8.4,2198.3,77
VEH1175,Toyota,ModelB,2012,Car,4391,2021-07-06,164001,13.9,1356.78,99
VEH1176,Isuzu,ModelC,2016,Car,12157,2020-10-20,183276,17.1,815.89,67
VEH1177,Isuzu,ModelB,2010,Van,6951,2014-06-09,416020,8.1,2341.27,98
VEH1178,Ford,ModelB,2019,Trailer,9007,2021-12-13,464815,4.9,2392.43,99
VEH1179,Volvo,ModelC,2017,Van,10064,2023-06-07,182003,9.4,1300.75,73
VEH1180,MAN,ModelB,2022,Van,16524,2022-11-25,80463,8.6,1023.0,91
VEH1181,Volvo,ModelB,2019,Van,1077,2019-12-04,133616,11.5,1525.78,97
VEH1182,Scania,ModelB,2019,Truck,8577,2020-11-10,461926,4.4,2392.91,92
VEH1183,MAN,ModelA,2019,Car,17984,2019-02-11,138960,17.3,745.2,82
VEH1184,Isuzu,ModelA,2023,Van,15060,2023-01-18,50317,11.7,1011.23,74
VEH1185,Isuzu,ModelA,2011,Van,18449,2016-09-10,464795,12.0,1720.43,92
VEH1186,MAN,ModelC,2012,Car,19520,2022-12-10,289358,13.7,954.9,84
VEH1187,Isuzu,ModelE,2018,Truck,11535,2018-12-05,435456,3.0,2171.46,76
VEH1188,Toyota,ModelB,2016,Van,10510,2019-01-07,275337,11.8,1293.85,92
VEH1189,MAN,ModelB,2013,Van,7943,2015-01-15,298044,12.0,1514.94,61
VEH1190,Volvo,ModelC,2019,Car,12954,2021-02-15,68379,17.9,684.42,73
VEH1191,MAN,ModelB,2014,Van,8804,2017-08-22,417387,10.1,1774.67,99
VEH1192,Isuzu,ModelA,2011,Car,7565,2017-01-14,329087,14.2,1047.3,99
VEH1193,Toyota,ModelE,2022,Car,6984,2022-03-25,58489,16.7,609.87,98
VEH1194,Toyota,ModelD,2020,Truck,5670,2021-11-09,267805,3.5,2607.11,65
VEH1195,Scania,ModelB,2022,Truck,19574,2022-07-22,161905,5.3,1929.69,65
VEH1196,Volvo,ModelA,2017,Van,10184,2018-02-21,276152,12.3,1536.51,62
VEH1197,Mercedes,ModelD,2013,Truck,3192,2016-05-24,910612,3.8,2867.46,66
VEH1198,Mercedes,ModelE,2018,Truck,2248,2018-06-13,528384,4.8,2236.13,67
VEH1199,MAN,ModelD,2014,Van,12246,2014-08-04,391572,11.8,1371.46,74